event_id,week,market,player,selection,line,odds,model_probability,edge,outcome,actual,profit
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,anytime_td,Deebo Samuel Sr.,over,0.5,220.0,0.402,0.08950000000000002,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Frankie Luvu,over,0.5,215.0,0.70925,0.3917896825396826,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Tyree Wilson,over,0.25,199.0,0.598,0.2635518394648829,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Adam Butler,over,0.5,195.0,0.601,0.26201694915254237,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Javon Kinlaw,over,0.5,190.0,0.6265,0.28167241379310337,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Ashton Jeanty,over,19.5,186.0,0.45725,0.10759965034965036,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_yards,Deebo Samuel Sr.,over,9.5,178.0,0.54775,0.18803776978417264,won,18.0,1.78
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Von Miller,over,0.25,177.0,0.675,0.3139891696750903,won,1.0,1.77
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Dorance Armstrong,over,0.5,174.0,0.64425,0.27928649635036495,won,1.0,1.74
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Terry McLaurin,over,59.5,168.0,0.4835,0.11036567164179101,won,74.0,1.68
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Brock Bowers,over,6.5,168.0,0.4415,0.06836567164179103,lost,4.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Malcolm Koonce,over,0.5,166.0,0.77275,0.3968101503759399,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_tds,Marcus Mariota,over,1.5,165.0,0.464,0.08664150943396226,lost,1.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Terry McLaurin,over,4.5,148.0,0.509,0.10577419354838713,lost,3.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Dorance Armstrong,over,0.25,133.0,0.64425,0.2150654506437768,won,1.0,1.33
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Dont'e Thornton Jr.,under,1.5,131.0,0.5569999999999999,0.12409956709956704,lost,2.0,-1.0
