season,sel,market,profit
2023,under,rush_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,over,pass_yards,0.9090909090909091
2023,under,pass_yards,-1.0
2023,over,pass_yards,0.9090909090909091
2023,under,pass_interceptions,0.8928571428571429
2023,over,pass_interceptions,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_yards,0.8849557522123894
2023,under,pass_yards,-1.0
2023,under,tackles_assists,0.8849557522123894
2023,under,reception_longest,-1.0
2023,under,reception_longest,-1.0
2023,under,pass_attempts,-1.0
2023,over,reception_longest,0.8771929824561403
2023,under,reception_longest,-1.0
2023,under,reception_longest,0.8771929824561403
2023,under,kicking_points,0.8771929824561403
2023,under,reception_longest,0.8771929824561403
2023,over,reception_longest,0.8771929824561403
2023,under,reception_longest,-1.0
2023,over,reception_longest,0.8771929824561403
2023,under,reception_longest,-1.0
2023,over,reception_longest,-1.0
2023,under,pass_completions,0.8771929824561403
2023,over,rush_longest,0.8771929824561403
2023,under,rush_longest,-1.0
2023,over,pass_longest_completion,0.8771929824561403
2023,under,pass_longest_completion,-1.0
2023,over,rush_yards,-1.0
2023,under,rush_yards,0.8771929824561403
2023,over,rush_attempts,0.8771929824561403
2023,under,rush_longest,0.8771929824561403
2023,under,rush_longest,0.8771929824561403
2023,over,pass_longest_completion,0.8771929824561403
2023,over,pass_yards,0.8695652173913043
2023,under,pass_yards,-1.0
2023,under,pass_yards,-1.0
2023,over,pass_yards,0.8695652173913043
2023,over,pass_completions,0.8695652173913043
2023,under,pass_yards,-1.0
2023,over,pass_yards,0.8695652173913043
2023,under,pass_yards,-1.0
2023,over,receptions,0.8695652173913043
2023,over,reception_yards,0.8695652173913043
2023,under,reception_yards,-1.0
2023,over,rush_yards,0.8695652173913043
2023,over,rush_yards,-1.0
2023,under,reception_longest,-1.0
2023,over,reception_longest,-1.0
2023,over,rush_yards,0.8695652173913043
2023,under,reception_longest,0.8695652173913043
2023,over,tackles_assists,0.8695652173913043
2023,over,rush_yards,0.8695652173913043
2023,over,reception_yards,0.8695652173913043
2023,over,reception_yards,0.8695652173913043
2023,under,rush_yards,0.8695652173913043
2023,over,reception_yards,0.8695652173913043
2023,over,rush_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.8547008547008547
2023,over,reception_yards,0.847457627118644
2023,over,receptions,-1.0
2023,under,rush_yards,0.8403361344537815
2023,under,tackles_assists,0.8333333333333334
2023,over,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.8333333333333334
2023,under,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,pass_longest_completion,-1.0
2023,over,pass_tds,0.8264462809917356
2023,under,pass_tds,0.819672131147541
2023,over,rush_yards,0.819672131147541
2023,over,reception_longest,-1.0
2023,under,pass_attempts,0.819672131147541
2023,under,rush_yards,0.8
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.8
2023,under,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,reception_yards,0.8
2023,under,rush_attempts,0.8
2023,over,pass_yards,0.8
2023,under,tackles_assists,0.7874015748031497
2023,over,rush_attempts,-1.0
2023,over,pass_yards,0.7692307692307693
2023,under,rush_attempts,0.7692307692307693
2023,under,kicking_points,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.7575757575757576
2023,under,tackles_assists,0.7575757575757576
2023,over,tackles_assists,-1.0
2023,over,rush_attempts,-1.0
2023,under,field_goals,0.7518796992481203
2023,over,reception_yards,0.7352941176470589
2023,over,receptions,0.7352941176470589
2023,over,reception_yards,-1.0
2023,under,rush_yards,0.7142857142857143
2023,over,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,receptions,0.6896551724137931
2023,over,receptions,0.684931506849315
2023,over,reception_longest,-1.0
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.6666666666666666
2023,under,field_goals,-1.0
2023,over,tackles_assists,0.6666666666666666
2023,under,receptions,-1.0
2023,under,pass_yards,-1.0
2023,under,tackles_assists,-1.0
2023,over,reception_yards,-1.0
2023,under,receptions,-1.0
2023,over,reception_yards,0.6451612903225806
2023,over,tackles_assists,0.6289308176100629
2023,over,tackles_assists,-1.0
2023,over,reception_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_interceptions,-1.0
2023,under,pass_tds,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,pass_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,receptions,-1.0
2023,under,rush_yards,-1.0
2023,under,receptions,-1.0
2023,over,reception_yards,4.5
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_tds,-1.0
2023,over,reception_yards,-1.0
2023,under,pass_yards,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,3.8
2023,under,pass_completions,-1.0
2023,over,pass_interceptions,-1.0
2023,under,pass_tds,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,under,reception_yards,-1.0
2023,under,reception_yards,-1.0
2023,over,receptions,3.5
2023,under,pass_yards,3.5
2023,under,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,reception_yards,3.2
2023,under,receptions,-1.0
2023,over,anytime_td,3.0
2023,over,pass_yards,-1.0
2023,over,pass_tds,-1.0
2023,over,reception_yards,3.0
2023,over,reception_yards,-1.0
2023,under,receptions,-1.0
2023,over,receptions,-1.0
2023,over,receptions,2.85
2023,under,rush_yards,2.8
